Name,NACA 63-412 AIRFOIL,,,,,,
Chord,1000,,,,,,
TR,0.2,,,,,,
AR,10,,,,,,
Sweep,5,,,,,,
Dihedral,0,,,,,,
Span,10000,,,,,,
,,,,,,,
Airfoil surface,,,Root airfoil points,,,Tip airfoil points,
X(mm),Y(mm),,x,y,,x,y
100,0,,1000,0,,637.4433176,0
95.023,0.881,,950.23,8.81,,627.4893176,1.762
90.049,1.739,,900.49,17.39,,617.5413176,3.478
85.07,2.618,,850.7,26.18,,607.5833176,5.236
80.084,3.492,,800.84,34.92,,597.6113176,6.984
75.089,4.344,,750.89,43.44,,587.6213176,8.688
70.087,5.153,,700.87,51.53,,577.6173176,10.306
65.076,5.899,,650.76,58.99,,567.5953176,11.798
60.057,6.562,,600.57,65.62,,557.5573176,13.124
55.031,7.125,,550.31,71.25,,547.5053176,14.25
50,7.567,,500,75.67,,537.4433176,15.134
44.964,7.894,,449.64,78.94,,527.3713176,15.788
39.924,8.062,,399.24,80.62,,517.2913176,16.124
34.882,8.059,,348.82,80.59,,507.2073176,16.118
29.84,7.872,,298.4,78.72,,497.1233176,15.744
24.8,7.499,,248,74.99,,487.0433176,14.998
19.765,6.929,,197.65,69.29,,476.9733176,13.858
14.735,6.138,,147.35,61.38,,466.9133176,12.276
9.718,5.063,,97.18,50.63,,456.8793176,10.126
7.218,4.379,,72.18,43.79,,451.8793176,8.758
4.727,3.544,,47.27,35.44,,446.8973176,7.088
2.257,2.46,,22.57,24.6,,441.9573176,4.92
1.041,1.719,,10.41,17.19,,439.5253176,3.438
0.567,1.32,,5.67,13.2,,438.5773176,2.64
0.336,1.071,,3.36,10.71,,438.1153176,2.142
0,0,,0,0,,437.4433176,0
0.664,-0.871,,6.64,-8.71,,438.7713176,-1.742
0.933,-1.04,,9.33,-10.4,,439.3093176,-2.08
1.459,-1.291,,14.59,-12.91,,440.3613176,-2.582
2.743,-1.716,,27.43,-17.16,,442.9293176,-3.432
5.273,-2.28,,52.73,-22.8,,447.9893176,-4.56
7.782,-2.685,,77.82,-26.85,,453.0073176,-5.37
10.282,-2.995,,102.82,-29.95,,458.0073176,-5.99
15.265,-3.446,,152.65,-34.46,,467.9733176,-6.892
20.235,-3.745,,202.35,-37.45,,477.9133176,-7.49
25.2,-3.919,,252,-39.19,,487.8433176,-7.838
30.16,-3.984,,301.6,-39.84,,497.7633176,-7.968
35.1118,-3.939,,351.118,-39.39,,507.6669176,-7.878
40.076,-3.778,,400.76,-37.78,,517.5953176,-7.556
45.035,-3.514,,450.35,-35.14,,527.5133176,-7.028
50,-3.164,,500,-31.64,,537.4433176,-6.328
54.969,-2.745,,549.69,-27.45,,547.3813176,-5.49
59.943,-2.278,,599.43,-22.78,,557.3293176,-4.556
64.924,-1.799,,649.24,-17.99,,567.2913176,-3.598
69.913,-1.265,,699.13,-12.65,,577.2693176,-2.53
74.911,-0.764,,749.11,-7.64,,587.2653176,-1.528
79.916,-0.308,,799.16,-3.08,,597.2753176,-0.616
84.93,0.074,,849.3,0.74,,607.3033176,0.148
89.951,0.329,,899.51,3.29,,617.3453176,0.658
94.977,0.33,,949.77,3.3,,627.3973176,0.66
100,0,,1000,0,,637.4433176,0
,,,,,,,
Camber line,,,,,,,
X(mm),Y(mm),,,,,,
0,0,,,,,,
0.336,0.5355,,,,,,
0.567,0.66,,,,,,
1.041,0.313732,,,,,,
2.257,0.452432,,,,,,
4.727,0.692858,,,,,,
7.218,0.89252,,,,,,
9.718,1.068968,,,,,,
14.735,1.369985,,,,,,
19.765,1.606138,,,,,,
24.8,1.797009,,,,,,
29.84,1.946097,,,,,,
34.882,2.058956,,,,,,
39.924,2.139535,,,,,,
44.964,2.18811,,,,,,
50,2.2015,,,,,,
55.031,2.192911,,,,,,
60.057,2.147481,,,,,,
65.076,2.058135,,,,,,
70.087,1.952721,,,,,,
75.089,1.798109,,,,,,
80.084,1.5984,,,,,,
85.07,1.349555,,,,,,
90.049,1.03401,,,,,,
95.023,0.603989,,,,,,
100,0,,,,,,
,,,,,,,
Chord line,,,,,,,
X(mm),Y(mm),,,,,,
0,0,,,,,,
100,0,,,,,,
